Customer_ID,Tenure_Months,Contract_Type,Service_Tier,Payment_Method,Autopay_Enrolled,Monthly_Charges,Total_Charges,Avg_Monthly_Usage_GB,Num_Support_Tickets,Satisfaction_Score,Num_Addon_Services,Churn,Expected_Lifetime_Months,Projected_CLV,Cluster,Customer_Segment,Churn_Risk_Score,Churn_Risk_Tier,Retention_Priority
CUST200000,37,Month-to-Month,Premium,Bank Transfer,1,91.34,3229.74,101.2,0,4,0,No,18,1644.12,1,Champions,23.4,Low,Standard
CUST200001,14,One Year,Basic,Credit Card,1,27.43,363.96,36.5,1,3,1,No,34,932.62,3,At Risk,15.6,Low,Standard
CUST200002,7,Month-to-Month,Premium,Credit Card,1,89.48,600.86,106.6,0,5,0,No,18,1610.64,1,Champions,28.8,Medium,Standard
CUST200003,45,One Year,Standard,Bank Transfer,1,52.54,2231.21,48.7,4,2,3,No,34,1786.36,3,At Risk,24.5,Medium,Standard
CUST200004,50,Two Year,Premium,Credit Card,1,89.62,4176.4,87.1,4,4,1,No,52,4660.24,1,Champions,13.1,Low,Standard
CUST200005,5,Month-to-Month,Basic,Credit Card,0,29.83,145.91,27.1,1,2,0,Yes,18,536.94,3,At Risk,64.8,Very High,Standard
CUST200006,37,Month-to-Month,Premium,Bank Transfer,1,95.64,3516.42,77.0,0,4,1,Yes,18,1721.52,1,Champions,20.0,Low,Standard
CUST200007,11,Month-to-Month,Standard,Bank Transfer,1,49.02,526.34,48.9,2,2,1,No,18,882.36,3,At Risk,65.2,Very High,Standard
CUST200008,12,Month-to-Month,Premium,Mailed Check,1,85.48,989.94,89.1,1,3,0,Yes,18,1538.64,1,Champions,64.4,Very High,Standard
CUST200009,17,Month-to-Month,Standard,Mailed Check,1,53.72,908.78,57.5,0,3,1,Yes,18,966.96,3,At Risk,43.4,Medium,Standard
CUST200010,22,One Year,Premium,Credit Card,1,95.46,2062.9,101.6,2,4,1,No,34,3245.64,1,Champions,18.0,Low,Standard
CUST200011,72,One Year,Premium,Bank Transfer,1,106.57,7400.46,123.6,4,3,0,Yes,34,3623.38,1,Champions,17.7,Low,Standard
CUST200012,15,Month-to-Month,Basic,Credit Card,0,30.99,461.4,8.9,2,2,0,Yes,18,557.82,3,At Risk,65.1,Very High,Standard
CUST200013,46,Month-to-Month,Standard,Credit Card,0,45.82,2024.98,39.9,0,3,0,Yes,18,824.76,2,Low Engagement,29.1,Medium,Standard
CUST200014,25,Month-to-Month,Standard,Digital Wallet,1,61.99,1435.77,55.3,1,4,1,No,18,1115.82,0,Loyal Steady,26.9,Medium,Standard
CUST200015,42,Two Year,Premium,Bank Transfer,1,98.8,3935.1,81.7,0,5,2,No,52,5137.6,1,Champions,2.8,Low,Standard
CUST200016,27,Month-to-Month,Premium,Credit Card,1,108.14,2843.6,88.8,5,2,1,Yes,18,1946.52,1,Champions,79.0,Very High,Priority Save
CUST200017,39,Month-to-Month,Standard,Bank Transfer,1,62.57,2339.5,76.2,0,5,1,No,18,1126.26,0,Loyal Steady,10.2,Low,Standard
CUST200018,57,Two Year,Premium,Credit Card,1,103.25,5663.94,92.8,2,2,1,No,52,5369.0,1,Champions,15.8,Low,Standard
CUST200019,63,Month-to-Month,Premium,Digital Wallet,1,92.19,5504.78,68.3,0,3,0,Yes,18,1659.42,1,Champions,20.8,Low,Standard
CUST200020,60,One Year,Premium,Credit Card,1,89.72,5066.03,107.8,0,5,1,No,34,3050.48,1,Champions,2.8,Low,Standard
CUST200021,48,Two Year,Basic,Mailed Check,1,27.97,1267.1,30.9,0,4,2,No,52,1454.44,2,Low Engagement,3.1,Low,Standard
CUST200022,15,Month-to-Month,Basic,Bank Transfer,0,28.72,415.02,53.1,1,5,2,No,18,516.96,0,Loyal Steady,18.8,Low,Standard
CUST200023,37,Month-to-Month,Standard,Digital Wallet,1,61.46,2122.03,25.3,2,4,1,No,18,1106.28,0,Loyal Steady,25.9,Medium,Standard
CUST200024,26,Two Year,Standard,Mailed Check,1,43.14,1089.27,53.9,1,2,3,No,52,2243.28,3,At Risk,20.0,Low,Standard
CUST200025,55,Month-to-Month,Standard,Credit Card,1,52.15,2865.31,45.0,1,2,0,No,18,938.7,2,Low Engagement,35.0,Medium,Standard
CUST200026,40,Month-to-Month,Standard,Digital Wallet,0,46.5,1727.31,55.2,0,4,2,No,18,837.0,0,Loyal Steady,18.0,Low,Standard
CUST200027,60,One Year,Basic,Bank Transfer,1,30.95,1814.62,37.9,0,4,2,Yes,34,1052.3,2,Low Engagement,2.1,Low,Standard
CUST200028,31,One Year,Standard,Bank Transfer,1,58.38,1673.62,35.7,2,3,0,Yes,34,1984.92,3,At Risk,20.1,Low,Standard
CUST200029,15,Month-to-Month,Basic,Bank Transfer,1,30.8,460.73,11.5,2,3,2,No,18,554.4,3,At Risk,37.6,Medium,Standard
CUST200030,8,Month-to-Month,Standard,Bank Transfer,1,55.3,416.24,60.5,1,3,1,No,18,995.4,3,At Risk,47.7,High,Standard
CUST200031,7,Month-to-Month,Standard,Digital Wallet,0,42.8,275.92,40.8,0,3,0,Yes,18,770.4,3,At Risk,53.8,High,Standard
CUST200032,14,Month-to-Month,Basic,Credit Card,1,25.88,344.59,24.1,0,3,3,Yes,18,465.84,3,At Risk,23.2,Low,Standard
CUST200033,4,Month-to-Month,Basic,Bank Transfer,0,27.51,106.47,13.4,0,3,2,No,18,495.18,3,At Risk,37.5,Medium,Standard
CUST200034,16,Month-to-Month,Basic,Digital Wallet,1,22.07,327.46,33.7,2,4,0,No,18,397.26,0,Loyal Steady,35.2,Medium,Standard
CUST200035,13,Two Year,Basic,Bank Transfer,1,27.41,350.41,33.7,0,3,2,No,52,1425.32,3,At Risk,8.5,Low,Standard
CUST200036,14,One Year,Basic,Credit Card,1,24.21,319.92,12.9,2,2,0,No,34,823.14,3,At Risk,32.1,Medium,Standard
CUST200037,71,Month-to-Month,Standard,Mailed Check,1,58.52,4094.29,67.1,0,3,0,No,18,1053.36,2,Low Engagement,18.6,Low,Standard
CUST200038,19,One Year,Premium,Credit Card,1,90.05,1703.79,97.4,1,4,0,No,34,3061.7,1,Champions,17.4,Low,Standard
CUST200039,23,Month-to-Month,Standard,Bank Transfer,1,46.49,1011.26,36.9,2,4,0,No,18,836.82,0,Loyal Steady,37.1,Medium,Standard
CUST200040,67,Month-to-Month,Standard,Bank Transfer,1,60.44,3732.7,64.6,2,2,4,No,18,1087.92,2,Low Engagement,21.3,Low,Standard
CUST200041,72,Month-to-Month,Standard,Digital Wallet,1,71.68,4961.85,57.7,1,5,0,No,18,1290.24,2,Low Engagement,7.2,Low,Standard
CUST200042,31,One Year,Premium,Mailed Check,1,86.94,2485.46,83.2,1,3,1,No,34,2955.96,1,Champions,23.2,Low,Standard
CUST200043,18,Month-to-Month,Premium,Mailed Check,1,89.47,1586.73,82.2,1,5,4,No,18,1610.46,1,Champions,22.2,Low,Standard
CUST200044,25,Month-to-Month,Basic,Credit Card,1,27.05,647.11,47.9,1,4,1,No,18,486.9,0,Loyal Steady,20.9,Low,Standard
CUST200045,50,One Year,Standard,Digital Wallet,0,52.69,2480.27,55.7,0,3,0,No,34,1791.46,2,Low Engagement,11.1,Low,Standard
CUST200046,22,Month-to-Month,Standard,Digital Wallet,1,61.44,1286.53,44.1,3,3,0,Yes,18,1105.92,3,At Risk,57.9,High,Standard
CUST200047,36,Two Year,Premium,Bank Transfer,1,94.55,3266.82,57.7,0,4,1,No,52,4916.6,1,Champions,6.0,Low,Standard
CUST200048,28,Month-to-Month,Standard,Digital Wallet,0,59.63,1642.87,51.3,3,3,0,Yes,18,1073.34,3,At Risk,61.4,High,Standard
CUST200049,9,One Year,Standard,Credit Card,0,49.77,432.4,62.4,3,2,3,No,34,1692.18,3,At Risk,45.4,High,Standard
CUST200050,21,Month-to-Month,Basic,Bank Transfer,1,21.48,437.9,42.9,1,3,0,No,18,386.64,3,At Risk,36.4,Medium,Standard
CUST200051,30,Month-to-Month,Premium,Bank Transfer,1,96.29,2735.8,95.2,0,4,2,No,18,1733.22,1,Champions,20.5,Low,Standard
CUST200052,27,One Year,Basic,Digital Wallet,1,22.05,572.92,49.2,1,2,2,No,34,749.7,3,At Risk,16.6,Low,Standard
CUST200053,60,Month-to-Month,Standard,Credit Card,1,43.3,2400.32,51.8,3,3,1,Yes,18,779.4,2,Low Engagement,30.8,Medium,Standard
CUST200054,26,Month-to-Month,Basic,Mailed Check,1,30.28,745.31,37.7,4,3,3,Yes,18,545.04,3,At Risk,50.1,High,Standard
CUST200055,39,Month-to-Month,Basic,Digital Wallet,1,36.58,1361.95,37.5,6,3,0,Yes,18,658.44,3,At Risk,61.0,High,Standard
CUST200056,8,Month-to-Month,Basic,Digital Wallet,1,20.65,159.7,21.4,1,3,4,Yes,18,371.7,3,At Risk,29.5,Medium,Standard
CUST200057,70,One Year,Premium,Mailed Check,1,85.97,5732.61,111.9,1,4,2,Yes,34,2922.98,1,Champions,5.6,Low,Standard
CUST200058,15,Month-to-Month,Standard,Bank Transfer,1,65.5,954.21,82.6,3,4,4,No,18,1179.0,1,Champions,33.4,Medium,Standard
CUST200059,11,One Year,Standard,Bank Transfer,1,55.22,580.17,54.8,3,4,1,Yes,34,1877.48,0,Loyal Steady,22.7,Low,Standard
CUST200060,30,Two Year,Basic,Credit Card,1,31.63,879.71,10.1,3,3,3,No,52,1644.76,3,At Risk,10.6,Low,Standard
CUST200061,50,One Year,Premium,Credit Card,1,95.87,4778.14,79.1,2,2,1,No,34,3259.58,1,Champions,22.3,Low,Standard
CUST200062,33,Month-to-Month,Standard,Digital Wallet,0,63.01,1972.56,51.3,1,3,1,Yes,18,1134.18,3,At Risk,39.7,Medium,Standard
CUST200063,31,Month-to-Month,Premium,Bank Transfer,1,90.73,2613.57,81.9,1,3,0,Yes,18,1633.14,1,Champions,43.6,Medium,Standard
CUST200064,42,One Year,Standard,Digital Wallet,1,67.32,2826.02,44.2,0,5,0,No,34,2288.88,0,Loyal Steady,3.9,Low,Standard
CUST200065,17,Month-to-Month,Standard,Bank Transfer,1,49.59,842.05,63.2,3,2,1,Yes,18,892.62,3,At Risk,68.6,Very High,Standard
CUST200066,21,Two Year,Basic,Credit Card,0,30.22,620.35,22.4,0,5,2,No,52,1571.44,0,Loyal Steady,3.5,Low,Standard
CUST200067,18,Two Year,Standard,Credit Card,1,60.48,1087.88,60.5,1,3,1,No,52,3144.96,3,At Risk,15.2,Low,Standard
CUST200068,34,Two Year,Standard,Mailed Check,1,47.88,1627.3,50.8,1,2,2,No,52,2489.76,3,At Risk,19.2,Low,Standard
CUST200069,39,Month-to-Month,Premium,Digital Wallet,1,99.31,3871.72,86.9,2,3,1,Yes,18,1787.58,1,Champions,42.5,Medium,Standard
CUST200070,72,Two Year,Standard,Credit Card,1,52.38,3534.36,63.4,1,4,2,No,52,2723.76,2,Low Engagement,2.3,Low,Standard
CUST200071,54,Month-to-Month,Premium,Credit Card,0,98.12,5158.51,86.6,4,3,1,Yes,18,1766.16,1,Champions,53.7,High,Standard
CUST200072,17,Month-to-Month,Premium,Credit Card,0,99.18,1649.45,75.7,1,4,0,Yes,18,1785.24,1,Champions,46.6,High,Standard
CUST200073,42,Month-to-Month,Basic,Credit Card,1,15.0,616.37,17.2,0,3,1,Yes,18,270.0,2,Low Engagement,17.3,Low,Standard
CUST200074,72,One Year,Basic,Bank Transfer,1,30.32,2095.64,10.5,1,2,0,No,34,1030.88,2,Low Engagement,7.3,Low,Standard
CUST200075,32,Month-to-Month,Standard,Bank Transfer,1,47.78,1508.64,36.5,3,3,1,Yes,18,860.04,3,At Risk,46.7,High,Standard
CUST200076,16,Month-to-Month,Standard,Digital Wallet,1,60.1,896.32,46.7,0,1,2,No,18,1081.8,3,At Risk,56.8,High,Standard
CUST200077,6,Month-to-Month,Standard,Credit Card,1,62.69,365.51,64.4,4,3,1,Yes,18,1128.42,3,At Risk,69.6,Very High,Standard
CUST200078,53,Month-to-Month,Basic,Credit Card,0,20.29,1041.76,43.2,1,3,0,No,18,365.22,2,Low Engagement,25.4,Medium,Standard
CUST200079,8,Month-to-Month,Standard,Digital Wallet,0,44.55,347.19,68.9,0,3,0,Yes,18,801.9,3,At Risk,53.8,High,Standard
CUST200080,49,Month-to-Month,Basic,Digital Wallet,0,28.05,1343.28,36.8,0,5,0,No,18,504.9,0,Loyal Steady,9.5,Low,Standard
CUST200081,10,Month-to-Month,Basic,Digital Wallet,1,31.19,298.04,15.0,1,4,2,Yes,18,561.42,0,Loyal Steady,24.5,Medium,Standard
CUST200082,23,Month-to-Month,Premium,Credit Card,1,91.12,2059.84,98.5,1,3,1,No,18,1640.16,1,Champions,45.1,High,Standard
CUST200083,21,One Year,Premium,Bank Transfer,1,93.19,1840.38,104.1,1,3,0,Yes,34,3168.46,1,Champions,24.8,Medium,Standard
CUST200084,47,One Year,Standard,Credit Card,1,56.67,2631.33,59.8,2,4,1,No,34,1926.78,2,Low Engagement,8.2,Low,Standard
CUST200085,7,Month-to-Month,Premium,Bank Transfer,0,102.69,715.17,92.4,3,3,2,Yes,18,1848.42,1,Champions,70.6,Very High,Standard
CUST200086,13,Month-to-Month,Premium,Bank Transfer,1,89.7,1139.32,74.6,1,3,1,Yes,18,1614.6,1,Champions,50.7,High,Standard
CUST200087,46,One Year,Standard,Credit Card,1,52.6,2373.51,29.0,2,5,1,No,34,1788.4,0,Loyal Steady,5.1,Low,Standard
CUST200088,9,Two Year,Standard,Digital Wallet,1,52.56,447.93,36.6,4,1,2,Yes,52,2733.12,3,At Risk,56.3,High,Priority Save
CUST200089,43,One Year,Standard,Mailed Check,1,47.67,1942.15,58.1,3,4,0,No,34,1620.78,2,Low Engagement,18.2,Low,Standard
CUST200090,20,One Year,Standard,Credit Card,0,51.49,1029.0,37.1,2,3,2,Yes,34,1750.66,3,At Risk,24.5,Medium,Standard
CUST200091,47,Two Year,Basic,Digital Wallet,1,25.89,1171.56,35.4,0,4,2,No,52,1346.28,2,Low Engagement,2.4,Low,Standard
CUST200092,23,Month-to-Month,Premium,Credit Card,0,96.86,2076.01,90.4,3,3,1,No,18,1743.48,1,Champions,65.8,Very High,Standard
CUST200093,8,Two Year,Standard,Digital Wallet,0,64.63,478.21,73.4,1,3,2,No,52,3360.76,3,At Risk,21.4,Low,Standard
CUST200094,55,Month-to-Month,Basic,Digital Wallet,1,29.73,1560.44,31.3,2,5,0,No,18,535.14,2,Low Engagement,10.7,Low,Standard
CUST200095,41,Month-to-Month,Premium,Bank Transfer,1,91.11,3712.85,89.5,1,2,2,Yes,18,1639.98,1,Champions,41.7,Medium,Standard
CUST200096,7,One Year,Standard,Digital Wallet,0,53.84,361.32,51.9,0,3,3,No,34,1830.56,3,At Risk,18.4,Low,Standard
CUST200097,7,One Year,Basic,Mailed Check,1,22.95,153.58,31.0,2,4,1,No,34,780.3,0,Loyal Steady,20.0,Low,Standard
CUST200098,9,Month-to-Month,Basic,Bank Transfer,1,15.0,127.51,2.0,1,2,0,Yes,18,270.0,3,At Risk,55.4,High,Standard
CUST200099,8,One Year,Standard,Bank Transfer,1,59.68,458.72,49.1,2,3,0,No,34,2029.12,3,At Risk,31.3,Medium,Standard
CUST200100,8,Month-to-Month,Standard,Mailed Check,1,59.06,471.96,69.4,0,4,2,No,18,1063.08,0,Loyal Steady,33.0,Medium,Standard
CUST200101,18,Month-to-Month,Basic,Credit Card,0,23.22,408.69,24.8,0,5,5,No,18,417.96,0,Loyal Steady,8.7,Low,Standard
CUST200102,17,One Year,Basic,Digital Wallet,1,35.19,594.43,16.6,1,4,2,No,34,1196.46,0,Loyal Steady,8.0,Low,Standard
CUST200103,32,Month-to-Month,Standard,Digital Wallet,0,51.9,1654.88,63.0,2,2,0,Yes,18,934.2,3,At Risk,64.7,Very High,Standard
CUST200104,3,One Year,Premium,Digital Wallet,0,89.7,260.61,75.1,1,4,3,No,34,3049.8,1,Champions,20.6,Low,Standard
CUST200105,4,One Year,Premium,Digital Wallet,0,89.28,342.51,112.9,2,4,0,No,34,3035.52,1,Champions,36.9,Medium,Standard
CUST200106,54,Two Year,Basic,Credit Card,0,27.87,1392.51,12.3,4,2,1,No,52,1449.24,2,Low Engagement,21.2,Low,Standard
CUST200107,36,One Year,Standard,Digital Wallet,0,62.73,2159.47,85.8,2,2,1,Yes,34,2132.82,3,At Risk,31.3,Medium,Standard
CUST200108,31,Month-to-Month,Standard,Bank Transfer,0,61.98,1800.98,52.2,0,3,2,Yes,18,1115.64,3,At Risk,29.5,Medium,Standard
CUST200109,9,Month-to-Month,Standard,Credit Card,1,46.28,405.88,52.4,1,5,2,No,18,833.04,0,Loyal Steady,21.9,Low,Standard
CUST200110,33,Month-to-Month,Basic,Credit Card,0,28.43,905.35,40.0,1,4,0,No,18,511.74,0,Loyal Steady,25.1,Medium,Standard
