Customer_ID,Tenure_Months,Contract_Type,Service_Tier,Payment_Method,Autopay_Enrolled,Monthly_Charges,Total_Charges,Avg_Monthly_Usage_GB,Num_Support_Tickets,Satisfaction_Score,Num_Addon_Services,Churn
CUST200000,37,Month-to-Month,Premium,Bank Transfer,1,91.34,3229.74,101.2,0,4,0,No
CUST200001,14,One Year,Basic,Credit Card,1,27.43,363.96,36.5,1,3,1,No
CUST200002,7,Month-to-Month,Premium,Credit Card,1,89.48,600.86,106.6,0,5,0,No
CUST200003,45,One Year,Standard,Bank Transfer,1,52.54,2231.21,48.7,4,2,3,No
CUST200004,50,Two Year,Premium,Credit Card,1,89.62,4176.4,87.1,4,4,1,No
CUST200005,5,Month-to-Month,Basic,Credit Card,0,29.83,145.91,27.1,1,2,0,Yes
CUST200006,37,Month-to-Month,Premium,Bank Transfer,1,95.64,3516.42,77.0,0,4,1,Yes
CUST200007,11,Month-to-Month,Standard,Bank Transfer,1,49.02,526.34,48.9,2,2,1,No
CUST200008,12,Month-to-Month,Premium,Mailed Check,1,85.48,989.94,89.1,1,3,0,Yes
CUST200009,17,Month-to-Month,Standard,Mailed Check,1,53.72,908.78,57.5,0,3,1,Yes
CUST200010,22,One Year,Premium,Credit Card,1,95.46,2062.9,101.6,2,4,1,No
CUST200011,72,One Year,Premium,Bank Transfer,1,106.57,7400.46,123.6,4,3,0,Yes
CUST200012,15,Month-to-Month,Basic,Credit Card,0,30.99,461.4,8.9,2,2,0,Yes
CUST200013,46,Month-to-Month,Standard,Credit Card,0,45.82,2024.98,39.9,0,3,0,Yes
CUST200014,25,Month-to-Month,Standard,Digital Wallet,1,61.99,1435.77,55.3,1,4,1,No
CUST200015,42,Two Year,Premium,Bank Transfer,1,98.8,3935.1,81.7,0,5,2,No
CUST200016,27,Month-to-Month,Premium,Credit Card,1,108.14,2843.6,88.8,5,2,1,Yes
CUST200017,39,Month-to-Month,Standard,Bank Transfer,1,62.57,2339.5,76.2,0,5,1,No
CUST200018,57,Two Year,Premium,Credit Card,1,103.25,5663.94,92.8,2,2,1,No
CUST200019,63,Month-to-Month,Premium,Digital Wallet,1,92.19,5504.78,68.3,0,3,0,Yes
CUST200020,60,One Year,Premium,Credit Card,1,89.72,5066.03,107.8,0,5,1,No
CUST200021,48,Two Year,Basic,Mailed Check,1,27.97,1267.1,30.9,0,4,2,No
CUST200022,15,Month-to-Month,Basic,Bank Transfer,0,28.72,415.02,53.1,1,5,2,No
CUST200023,37,Month-to-Month,Standard,Digital Wallet,1,61.46,2122.03,25.3,2,4,1,No
CUST200024,26,Two Year,Standard,Mailed Check,1,43.14,1089.27,53.9,1,2,3,No
CUST200025,55,Month-to-Month,Standard,Credit Card,1,52.15,2865.31,45.0,1,2,0,No
CUST200026,40,Month-to-Month,Standard,Digital Wallet,0,46.5,1727.31,55.2,0,4,2,No
CUST200027,60,One Year,Basic,Bank Transfer,1,30.95,1814.62,37.9,0,4,2,Yes
CUST200028,31,One Year,Standard,Bank Transfer,1,58.38,1673.62,35.7,2,3,0,Yes
CUST200029,15,Month-to-Month,Basic,Bank Transfer,1,30.8,460.73,11.5,2,3,2,No
CUST200030,8,Month-to-Month,Standard,Bank Transfer,1,55.3,416.24,60.5,1,3,1,No
CUST200031,7,Month-to-Month,Standard,Digital Wallet,0,42.8,275.92,40.8,0,3,0,Yes
CUST200032,14,Month-to-Month,Basic,Credit Card,1,25.88,344.59,24.1,0,3,3,Yes
CUST200033,4,Month-to-Month,Basic,Bank Transfer,0,27.51,106.47,13.4,0,3,2,No
CUST200034,16,Month-to-Month,Basic,Digital Wallet,1,22.07,327.46,33.7,2,4,0,No
CUST200035,13,Two Year,Basic,Bank Transfer,1,27.41,350.41,33.7,0,3,2,No
CUST200036,14,One Year,Basic,Credit Card,1,24.21,319.92,12.9,2,2,0,No
CUST200037,71,Month-to-Month,Standard,Mailed Check,1,58.52,4094.29,67.1,0,3,0,No
CUST200038,19,One Year,Premium,Credit Card,1,90.05,1703.79,97.4,1,4,0,No
CUST200039,23,Month-to-Month,Standard,Bank Transfer,1,46.49,1011.26,36.9,2,4,0,No
CUST200040,67,Month-to-Month,Standard,Bank Transfer,1,60.44,3732.7,64.6,2,2,4,No
CUST200041,72,Month-to-Month,Standard,Digital Wallet,1,71.68,4961.85,57.7,1,5,0,No
CUST200042,31,One Year,Premium,Mailed Check,1,86.94,2485.46,83.2,1,3,1,No
CUST200043,18,Month-to-Month,Premium,Mailed Check,1,89.47,1586.73,82.2,1,5,4,No
CUST200044,25,Month-to-Month,Basic,Credit Card,1,27.05,647.11,47.9,1,4,1,No
CUST200045,50,One Year,Standard,Digital Wallet,0,52.69,2480.27,55.7,0,3,0,No
CUST200046,22,Month-to-Month,Standard,Digital Wallet,1,61.44,1286.53,44.1,3,3,0,Yes
CUST200047,36,Two Year,Premium,Bank Transfer,1,94.55,3266.82,57.7,0,4,1,No
CUST200048,28,Month-to-Month,Standard,Digital Wallet,0,59.63,1642.87,51.3,3,3,0,Yes
CUST200049,9,One Year,Standard,Credit Card,0,49.77,432.4,62.4,3,2,3,No
CUST200050,21,Month-to-Month,Basic,Bank Transfer,1,21.48,437.9,42.9,1,3,0,No
CUST200051,30,Month-to-Month,Premium,Bank Transfer,1,96.29,2735.8,95.2,0,4,2,No
CUST200052,27,One Year,Basic,Digital Wallet,1,22.05,572.92,49.2,1,2,2,No
CUST200053,60,Month-to-Month,Standard,Credit Card,1,43.3,2400.32,51.8,3,3,1,Yes
CUST200054,26,Month-to-Month,Basic,Mailed Check,1,30.28,745.31,37.7,4,3,3,Yes
CUST200055,39,Month-to-Month,Basic,Digital Wallet,1,36.58,1361.95,37.5,6,3,0,Yes
CUST200056,8,Month-to-Month,Basic,Digital Wallet,1,20.65,159.7,21.4,1,3,4,Yes
CUST200057,70,One Year,Premium,Mailed Check,1,85.97,5732.61,111.9,1,4,2,Yes
CUST200058,15,Month-to-Month,Standard,Bank Transfer,1,65.5,954.21,82.6,3,4,4,No
CUST200059,11,One Year,Standard,Bank Transfer,1,55.22,580.17,54.8,3,4,1,Yes
CUST200060,30,Two Year,Basic,Credit Card,1,31.63,879.71,10.1,3,3,3,No
CUST200061,50,One Year,Premium,Credit Card,1,95.87,4778.14,79.1,2,2,1,No
CUST200062,33,Month-to-Month,Standard,Digital Wallet,0,63.01,1972.56,51.3,1,3,1,Yes
CUST200063,31,Month-to-Month,Premium,Bank Transfer,1,90.73,2613.57,81.9,1,3,0,Yes
CUST200064,42,One Year,Standard,Digital Wallet,1,67.32,2826.02,44.2,0,5,0,No
CUST200065,17,Month-to-Month,Standard,Bank Transfer,1,49.59,842.05,63.2,3,2,1,Yes
CUST200066,21,Two Year,Basic,Credit Card,0,30.22,620.35,22.4,0,5,2,No
CUST200067,18,Two Year,Standard,Credit Card,1,60.48,1087.88,60.5,1,3,1,No
CUST200068,34,Two Year,Standard,Mailed Check,1,47.88,1627.3,50.8,1,2,2,No
CUST200069,39,Month-to-Month,Premium,Digital Wallet,1,99.31,3871.72,86.9,2,3,1,Yes
